?country	?countryLabel	?capital	?capitalLabel	?area	?population	?continent	?continentLabel	?currency	?currencyLabel
<http://www.wikidata.org/entity/Q159>	"Rusland"@af	<http://www.wikidata.org/entity/Q649>	"Moskou"@af	17075400	146804372	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q41044>	"Russiese roebel"@af
<http://www.wikidata.org/entity/Q183>	"Duitsland"@af	<http://www.wikidata.org/entity/Q64>	"Berlyn"@af	357587.77	83149300	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q159>	"Rusland"@af	<http://www.wikidata.org/entity/Q649>	"Moskou"@af	17075400	146804372	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q41044>	"Russiese roebel"@af
<http://www.wikidata.org/entity/Q191>	"Estland"@af	<http://www.wikidata.org/entity/Q1770>	"Tallinn"@af	45339	1331796	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q211>	"Letland"@af	<http://www.wikidata.org/entity/Q1773>	"Riga"@af	64589	1909000	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q214>	"Slowakye"@af	<http://www.wikidata.org/entity/Q1780>	"Bratislava"@af	49035	5449270	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q215>	"Slowenië"@af	<http://www.wikidata.org/entity/Q437>	"Ljubljana"@af	20273	2066880	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q222>	"Albanië"@af	<http://www.wikidata.org/entity/Q19689>	"Tirana"@af	28748	2793592	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q125999>	"Albanese lek"@af
<http://www.wikidata.org/entity/Q227>	"Azerbeidjan"@af	<http://www.wikidata.org/entity/Q9248>	"Bakoe"@af	86600	10145212	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q483725>	"Azerbeidjanse manat"@af
<http://www.wikidata.org/entity/Q227>	"Azerbeidjan"@af	<http://www.wikidata.org/entity/Q9248>	"Bakoe"@af	86600	10145212	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q483725>	"Azerbeidjanse manat"@af
<http://www.wikidata.org/entity/Q228>	"Andorra"@af	<http://www.wikidata.org/entity/Q1863>	"Andorra la Vella"@af	468	78151	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q229>	"Siprus"@af	<http://www.wikidata.org/entity/Q3856>	"Nicosia"@af	9242.45	1141166	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q229>	"Siprus"@af	<http://www.wikidata.org/entity/Q3856>	"Nicosia"@af	9242.45	1141166	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q233>	"Malta"@af	<http://www.wikidata.org/entity/Q23800>	"Valletta"@af	316	465292	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q238>	"San Marino"@af	<http://www.wikidata.org/entity/Q1848>	"San Marino"@af	61.2	33400	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q236>	"Montenegro"@af	<http://www.wikidata.org/entity/Q23564>	"Podgorica"@af	13812	622359	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q258>	"Suid-Afrika"@af	<http://www.wikidata.org/entity/Q5465>	"Kaapstad"@af	1221037	60142978	<http://www.wikidata.org/entity/Q15>	"Afrika"@af	<http://www.wikidata.org/entity/Q181907>	"Suid-Afrikaanse Rand"@af
<http://www.wikidata.org/entity/Q258>	"Suid-Afrika"@af	<http://www.wikidata.org/entity/Q3926>	"Pretoria"@af	1221037	60142978	<http://www.wikidata.org/entity/Q15>	"Afrika"@af	<http://www.wikidata.org/entity/Q181907>	"Suid-Afrikaanse Rand"@af
<http://www.wikidata.org/entity/Q258>	"Suid-Afrika"@af	<http://www.wikidata.org/entity/Q37701>	"Bloemfontein"@af	1221037	60142978	<http://www.wikidata.org/entity/Q15>	"Afrika"@af	<http://www.wikidata.org/entity/Q181907>	"Suid-Afrikaanse Rand"@af
<http://www.wikidata.org/entity/Q298>	"Chili"@af	<http://www.wikidata.org/entity/Q2887>	"Santiago de Chile"@af	756102	19458000	<http://www.wikidata.org/entity/Q18>	"Suid-Amerika"@af	<http://www.wikidata.org/entity/Q200050>	"Chileense Peso"@af
<http://www.wikidata.org/entity/Q334>	"Singapoer"@af	<http://www.wikidata.org/entity/Q334>	"Singapoer"@af	719.1	5866139	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q190951>	"Singapoer-dollar"@af
<http://www.wikidata.org/entity/Q347>	"Liechtenstein"@af	<http://www.wikidata.org/entity/Q1844>	"Vaduz"@af	160	37922	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25344>	"Switserse frank"@af
<http://www.wikidata.org/entity/Q408>	"Australië"@af	<http://www.wikidata.org/entity/Q3114>	"Canberra"@af	7692024	24511800	<http://www.wikidata.org/entity/Q538>	"Oseanië"@af	<http://www.wikidata.org/entity/Q259502>	"Australiese dollar"@af
<http://www.wikidata.org/entity/Q399>	"Armenië"@af	<http://www.wikidata.org/entity/Q1953>	"Jerewan"@af	29743.423459	2930450	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q130498>	"Armeense dram"@af
<http://www.wikidata.org/entity/Q574>	"Oos-Timor"@af	<http://www.wikidata.org/entity/Q9310>	"Dili"@af	14918.72	1296311	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q4917>	"Amerikaanse dollar"@af
